Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,TX,2015,"12        ",Female,17,Right-Handed,144.7,17.78,144.7,1,Car,10,.839,45,Golf,100,100,100,400,800,800,17.78,"Same length",76.2,76.2,"Same length",February,Winter,Yes,No,Pizza/Pasta,Juice,History,6,8,5,"Yes - other","Text messaging",50,50,30,3,15,80,6,2,15,15,10,5,0,3,"A lot","Graduate degree",Pop,Telepathy,Healthy,Relative,Health
USA,UT,2015,"12        ",Female,17,Left-Handed,136,95,120,2,Car,7,.356,38,Swimming,471,433,519,422,904,1000,95,"Same length",75,,"Same length",May,Spring,Yes,No,Meat,"Soft drink (caffeinated)","Physical education",7,5,4,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",300,300,3,1,1,3,2,1,5,5,3,3,5,1,Some,"Some college","Rap/Hip hop","Super strength",Happy,"Sports person","Arts, culture, sports"
USA,TN,2015,"12        ",Male,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,CA,2015,"12        ",Male,18,Left-Handed,177.8,27,180,2,Walk,9,0.504,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,NY,2015,"12        ",Female,17,Right-Handed,170.1,24.13,170.1,2,Car,21,0.384,61,Tennis,700,800,900,500,950,950,23.68,"Right foot",76,67,"Index finger",June,Summer,Yes,No,Vegetables,Water,Science,7,9,4,,"Text messaging",30,15,3,1,15,4,6,1,3,3,10,5,0,1,"A lot","Graduate degree",Pop,"Freeze time",Healthy,Relative,Health
USA,MO,2015,"12        ",Female,17,Right-Handed,157,22,160,1,Car,"3 ",0.571,60,Swimming,150,100,900,850,20,35,22,"Same length",85,70,"Index finger",June,Summer,Yes,No,Fruit,Water,Art,8,9,4,"No internet connection","Text messaging",20,30,18,1,1,3,2,0,8,20,15,7,3,2,Some,"Undergraduate degree","Rap/Hip hop",Telepathy,Famous,Relative,"International aid"
USA,NH,2015,"12        ",Male,17,Right-Handed,180,27,185,1,Car,9,0.458,54,Walking/Hiking,600,631,230,396,1000,1000,28,"Left foot",85,77,"Index finger",February,Summer,Yes,No,"No favorite",Water,"Social studies",6,8,4,"Yes - broadband connection","Text messaging",24,16,12,0,6,3,12,10,3,4,30,4,13,2,Some,"Graduate degree","Rock and roll",Fly,Happy,Friend,"Arts, culture, sports"
USA,MI,2015,"12        ",Male,17,Right-Handed,168,26,161,1,Car,15,.392,51,Baseball/Softball,500,500,500,500,1000,1000,26,"Same length",73,92,"Ring finger",April,Fall,Yes,No,Meat,"Sports drink","Physical education",7,9,4,"Yes - broadband connection","Text messaging",100,100,15,1,8,5,8,2,2,3,8,2,14,2,"A lot","Graduate degree","Rap/Hip hop",Invisibility,Rich,Relative,Health
USA,NY,2015,"12        ",Female,17,Left-Handed,156,23,161,1,"Rail (Train/Tram/Subway)",45,0.455,44,Swimming,500,800,500,500,900,1000,23,"Same length",88,92,"Ring finger",January,Summer,Yes,No,Meat,Juice,"Computers and technology",6,8,4,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",0,9,2,0,6,2,2,1,1,1.5,8,4,0,1,"Very little","Undergraduate degree",Other,Fly,Happy,Teacher,"International aid"
USA,CT,2015,"12        ",Male,18,Right-Handed,180,26.25,152.4,1,Walk,5,0.467,32,Tennis,900,900,900,900,1000,1000,26.25,"Same length",25,37.5,"Ring finger",August,Spring,No,No,Meat,Water,History,6,8,4,"Yes - broadband connection","Cell phone",0,0,3,1,8,5,7,1,5,1,8,6,0,1,"A lot","Graduate degree",Jazz,"Super strength",Rich,Politician,Health
